    0.191286506538211233E+04   -0.367351075563165068E+03    0.474976658085127383E+03   -0.376843710639225719E+03    0.107209051610437200E+03    0.641346662082926788E+00    0.777872702236550708E+02    0.184689746519810960E+02    0.552943420264605390E+01    0.187648846162286162E+03
    0.185252875177936312E+04   -0.122663681029996951E+03    0.109617257686669291E+03   -0.138966464423435355E+03    0.501706777267227153E+02    0.463709341493515503E+00    0.779634100500772433E+02    0.183368659660886522E+02    0.763410012361605084E+01    0.188571093152456427E+03
    0.186409953179389322E+04   -0.175393227825413305E+03    0.195960917916241669E+03   -0.199565603128380644E+03    0.656483302739725332E+02    0.529069275028292374E+00    0.776361890851132728E+02    0.181369730559004623E+02    0.626537487142761673E+01    0.189212686171554282E+03
    0.183454137876285040E+04   -0.524303632520841347E+02    0.792258754470003623E+01   -0.742528281263466852E+02    0.348909583386403028E+02    0.464776778486184095E+00    0.777904285856495932E+02    0.183194576412644494E+02    0.892465756324630632E+01    0.189447520528012376E+03
    0.192665710771874456E+04   -0.423408367859304235E+03    0.559905336411839016E+03   -0.433641278294537187E+03    0.121345831657231429E+03    0.646467525527283260E+00    0.775055434015055624E+02    0.180710438174063590E+02    0.507288274768577452E+01    0.190137611167512460E+03
    0.190596928971186117E+04   -0.338332102554621997E+03    0.430793205525968006E+03   -0.348011885086876646E+03    0.100386316510978759E+03    0.598414592784171973E+00    0.776181007855431631E+02    0.179061242658696536E+02    0.595372770330298628E+01    0.190651631746359385E+03
    0.188104288810440539E+04   -0.238910975217448140E+03    0.283957120402201326E+03   -0.252898478524831262E+03    0.775738537902207099E+02    0.553464380220999419E+00    0.776810205035574342E+02    0.179103703766131162E+02    0.608098567820858449E+01    0.190873085498385052E+03
    0.187923461168073754E+04   -0.232343838123331807E+03    0.275237724197067109E+03   -0.247928590714249367E+03    0.765613808884327227E+02    0.537158097022733205E+00    0.778276452071820586E+02    0.183749440769221941E+02    0.680955383021229377E+01    0.191084964074293083E+03
    0.194076884608561886E+04   -0.479408235538347071E+03    0.641705261516386599E+03   -0.485735117325264582E+03    0.133557341783446645E+03    0.674025277816966417E+00    0.775927048284799952E+02    0.179024164554301812E+02    0.523531411844719763E+01    0.191096923400307162E+03
    0.180469157444199209E+04    0.623614496778200191E+02   -0.155817487352550415E+03    0.284008074878920524E+02    0.110153586478154466E+02    0.440720430004378938E+00    0.777814500374771285E+02    0.180972982304307273E+02    0.692081156884877480E+01    0.191231366830979312E+03
