    0.746816817131184507E+01   -0.256713374271384964E+01   -0.444605520642653573E-01    0.878194808501575608E-02    0.801597939698694972E-01    0.125696515237713946E+01    0.776406431929531351E+02    0.931438303199250939E+01    0.580156045387891623E+02
    0.746808730094562634E+01   -0.256757840635327739E+01   -0.438557629749993794E-01    0.167398855592182372E-01    0.931981341036589583E-01    0.110848708171139254E+01    0.774127260005489859E+02    0.927906166863478532E+01    0.595944843496165007E+02
    0.746825727046234533E+01   -0.256685847812696011E+01   -0.454748279444174841E-01    0.517000970103254076E-02    0.793295592702634167E-01    0.141701721139527259E+01    0.775237550832595872E+02    0.955004759691194316E+01    0.603637880293900650E+02
    0.746822372787391942E+01   -0.256676250525561045E+01   -0.444225657392962603E-01    0.433832543058088049E-02    0.719282712707354221E-01    0.139633428225806533E+01    0.778641195316647554E+02    0.935464329281363760E+01    0.606672108798231520E+02
    0.746811573039849463E+01   -0.256731234282779042E+01   -0.438114590160694206E-01    0.118197111460176529E-01    0.825300105025235098E-01    0.117075958535656488E+01    0.775765795686372428E+02    0.919352151986363353E+01    0.607083123247654299E+02
    0.746819943140326359E+01   -0.256708956560578372E+01   -0.448264664719317807E-01    0.907799305423395708E-02    0.834363033791305497E-01    0.132933122704394768E+01    0.774776531789432710E+02    0.946205172928588034E+01    0.607482243992319724E+02
    0.746814470018034626E+01   -0.256735518022287579E+01   -0.445003090935642831E-01    0.117500135693262564E-01    0.853063540525909048E-01    0.121080560306173912E+01    0.773919888777670764E+02    0.940628107163018079E+01    0.607583921147231649E+02
    0.746815632968355203E+01   -0.256712749851976696E+01   -0.441972810567676788E-01    0.929245733277639374E-02    0.805067332603357499E-01    0.123531588560936134E+01    0.778008499429395783E+02    0.938276496168491825E+01    0.608312785077063864E+02
    0.746805384466279065E+01   -0.256746620162448380E+01   -0.436395986707793782E-01    0.120114103847299702E-01    0.821772553190385224E-01    0.108690752675135194E+01    0.775565963125362572E+02    0.841483172077377617E+01    0.610212916386898883E+02
    0.746830022134236060E+01   -0.256649836584438162E+01   -0.453065235324174864E-01    0.146591317388811149E-03    0.686119313413655618E-01    0.152171039235196859E+01    0.779242149095714041E+02    0.953119832523111654E+01    0.611775342532534623E+02
    0.746820203410425165E+01   -0.256706164490969968E+01   -0.448613383468909888E-01    0.867724071031261701E-02    0.831615632305329200E-01    0.132039874629810461E+01    0.777136010533465935E+02    0.953752173945655457E+01    0.611830856939853476E+02
    0.746802753933479835E+01   -0.256769487674500851E+01   -0.432311278309498448E-01    0.172489822507486679E-01    0.901665507244615583E-01    0.100808153364762054E+01    0.776017957201787141E+02    0.881933477266288079E+01    0.612624005565134766E+02
    0.746817936520892545E+01   -0.256718285797614953E+01   -0.446674440026981756E-01    0.100566037672251696E-01    0.838459963306377176E-01    0.128923259296202430E+01    0.774067479734422648E+02    0.939274078946116475E+01    0.612658267307335649E+02
    0.746821711849588610E+01   -0.256697327629080974E+01   -0.451781213578215102E-01    0.570796143620100338E-02    0.780604839546867879E-01    0.134580217110736977E+01    0.775607412159007197E+02    0.936024376269227432E+01    0.613564625992778900E+02
