    0.197610804135061153E+04   -0.606984529046097123E+03    0.805134147673407824E+03   -0.571993464999573916E+03    0.148869671936675331E+03   -0.808151480952723489E-02    0.396253310873468934E-01   -0.170209398491232466E+01   -0.398987768179405755E+01    0.937729287992910665E+00    0.786137428338815880E+02    0.184660895582635263E+02    0.380072587574703569E+01    0.179818072437794399E+03
    0.197968502831970000E+04   -0.632052493208225314E+03    0.863104781563230972E+03   -0.626683060643896169E+03    0.166841999902325369E+03   -0.186304658078064733E-01    0.107742053921100478E-01    0.108686826145406013E+01   -0.377800603041414185E+01    0.680045618771183635E+00    0.779541360085346469E+02    0.175850767472232263E+02    0.379744809861036181E+01    0.181747873400625451E+03
    0.201099831096097660E+04   -0.761174215376961001E+03    0.105578388834125144E+04   -0.749573457030663121E+03    0.195148798304311640E+03    0.161889346861769923E-01    0.157697227269970597E-01    0.729486279351577060E+00   -0.452852939484114447E+01    0.978456820078928979E+00    0.774742346523814831E+02    0.187847729935131511E+02    0.301836681546761243E+01    0.181984564899987589E+03
    0.200528406081181583E+04   -0.737870796450550188E+03    0.102096832482134596E+04   -0.726656233848741067E+03    0.189473395087561585E+03   -0.820261286015622204E-02    0.409389865937548336E-02    0.240266529301313980E+00   -0.524844202397842086E+01    0.101399788530471557E+01    0.773179494319042675E+02    0.186491006560809751E+02    0.267297618668563608E+01    0.182158280949084173E+03
    0.194566806329046449E+04   -0.477973885390482792E+03    0.603807587892943957E+03   -0.434939344321011049E+03    0.114486997072217491E+03   -0.204230376331828722E-01    0.102276809684589409E-01    0.147137347118909290E+01   -0.793516915700347969E+01    0.886742032965404881E+00    0.785763290169152384E+02    0.195283462828922723E+02    0.441049105357709514E+01    0.182325983294586592E+03
    0.202715833963441855E+04   -0.830461310874081391E+03    0.116404677760157938E+04   -0.822216743058897009E+03    0.212843906664061251E+03    0.111662664440892456E-02   -0.518157509648631276E-02    0.594376340190782670E+00   -0.341411607859233968E+00    0.119078372194272841E+01    0.769654910752106787E+02    0.187015927732294998E+02    0.204930281200779651E+01    0.182800664120291572E+03
    0.200218614911602435E+04   -0.718043239117560915E+03    0.977530086728353126E+03   -0.687194202917798066E+03    0.176887244637949152E+03    0.939286392129545789E-02   -0.156223233916144011E-01   -0.301339688417196427E+01    0.379779740722654147E+01    0.115989867744756792E+01    0.776995771638053156E+02    0.195650651465142076E+02    0.216454479253246967E+01    0.182878335050374886E+03
    0.199943895825647269E+04   -0.713686599810325788E+03    0.985586408704720270E+03   -0.705275926764584256E+03    0.185042868330329838E+03    0.370526451261810053E-02   -0.360475115161662529E-02   -0.183072760969076764E+01    0.723700311672287455E+01    0.862191229568254114E+00    0.772029291356910079E+02    0.193632461292409488E+02    0.544563220760203315E+01    0.182978952282615325E+03
    0.203304463972742633E+04   -0.852948584569006016E+03    0.119784754838184926E+04   -0.846464006009796321E+03    0.219698055302875218E+03   -0.711636415327809857E-02    0.576273153414064154E-02   -0.295411368432062282E+00    0.723854207854232001E+01    0.948161353366415827E+00    0.776260488541685305E+02    0.184335546064700964E+02    0.312723190458844869E+01    0.183150868282832477E+03
    0.197910070758086658E+04   -0.627829394384773877E+03    0.853389447147440478E+03   -0.617485381324326227E+03    0.163772017461327778E+03   -0.120957961198016051E-01    0.206902484573152634E-01   -0.172103122039000045E+01    0.255865915957541112E+01    0.729358204229763607E+00    0.782143524366784533E+02    0.179383288749830143E+02    0.514940041821234740E+01    0.183158274473226982E+03
