Nested Sampling Global Log-Evidence           :   -0.106610149014213141E+08  +/-    0.477395544494530366E+00
Nested Importance Sampling Global Log-Evidence:   -0.106610170496360008E+08  +/-    0.115595568578927346E-01

Dim No.       Mean        Sigma
   1    0.738879264736685764E+04    0.357575972227417604E+00
   2    0.172664344697681827E+04    0.158751525670937310E+01
   3    0.243116398821963730E+04    0.260960271639049068E+01
   4   -0.314105890707218487E+04    0.188071949806085681E+01
   5    0.976251674792364156E+03    0.500589755982701501E+00
   6    0.499998636478372571E+01    0.137187830048607646E-04
   7    0.726800549308752153E+02    0.272798033948704662E-02
   8    0.710219160935210869E+01    0.239782942961896256E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.738900568722178650E+04
   2    0.172570507690829254E+04
   3    0.243268634731714337E+04
   4   -0.314213685793345758E+04
   5    0.976532907892171352E+03
   6    0.499999784856503560E+01
   7    0.726801480252019303E+02
   8    0.710205442072766591E+01

MAP Parameters
Dim No.        Parameter
   1    0.738900568722178650E+04
   2    0.172570507690829254E+04
   3    0.243268634731714337E+04
   4   -0.314213685793345758E+04
   5    0.976532907892171352E+03
   6    0.499999784856503560E+01
   7    0.726801480252019303E+02
   8    0.710205442072766591E+01
