    0.221848366654035999E+04   -0.191991283105221737E+04    0.360654880407326164E+04   -0.351175028143133204E+04    0.166484655582511914E+04   -0.307317036234981060E+03    0.688131193226293458E+00    0.777551105859328686E+02    0.194457414718230055E+02    0.425219159062643115E+01    0.244344968877943380E-01    0.252235969879594933E+03
    0.237907880083025702E+04   -0.280044866413068939E+04    0.551253685253291951E+04   -0.554541046389584426E+04    0.273345690869473947E+04   -0.528498792973136005E+03    0.496988927133500735E+00    0.778183733591260420E+02    0.188753770444416205E+02    0.533724882617367502E+01    0.287490612507077456E-01    0.253855838004742253E+03
    0.222694497230934212E+04   -0.197476687475759263E+04    0.374315871537698877E+04   -0.367527806086613691E+04    0.175898188858112371E+04   -0.328242020727830095E+03    0.585864877522939587E+00    0.779119935341714154E+02    0.183764481521318288E+02    0.669960456621450362E+01    0.227688999975091469E-01    0.254397889765073074E+03
    0.226617951434001407E+04   -0.219679497718802395E+04    0.423953814277703350E+04   -0.422261808672933148E+04    0.205634703331774108E+04   -0.391886660228668916E+03    0.564428257581214399E+00    0.780957993175068452E+02    0.187950762113930239E+02    0.661944093836621672E+01    0.276005964926277041E-01    0.254500520286269364E+03
    0.231051632256842822E+04   -0.243417232915203567E+04    0.473843113532450843E+04   -0.473596079378093327E+04    0.231444050479945327E+04   -0.442564495436163270E+03    0.456118205159987800E+00    0.777700216740408337E+02    0.186374539384278215E+02    0.880187651091263135E+01    0.297996692881459316E-01    0.254645329105665184E+03
    0.229951062210399323E+04   -0.237569369971041033E+04    0.461809864199702133E+04   -0.461682622711447675E+04    0.225807857045628589E+04   -0.432435241919523833E+03    0.517986691595915927E+00    0.782283929297845333E+02    0.184630564170668308E+02    0.780142419501178352E+01    0.299725052808856758E-01    0.255264983667857791E+03
    0.231208278097887887E+04   -0.243024608298875864E+04    0.470273146833464307E+04   -0.466915378252336723E+04    0.226456436756164112E+04   -0.429249468324815098E+03    0.501131346218573359E+00    0.777165223076273151E+02    0.184708738220345801E+02    0.692303716794718493E+01    0.264200656242313814E-01    0.255538728662760349E+03
    0.219765865101360760E+04   -0.180221956126553414E+04    0.334892474154249248E+04   -0.324036805380966052E+04    0.152818112951131661E+04   -0.281123402570843609E+03    0.843739555863955548E+00    0.780524847985022774E+02    0.201588310754498359E+02    0.435656289869961810E+01    0.272560484569728950E-01    0.255894880880867362E+03
    0.228198264619769907E+04   -0.228220360026341405E+04    0.441891518555332914E+04   -0.440480683830367889E+04    0.214535472903533810E+04   -0.408517350341418933E+03    0.495107146966309586E+00    0.780314468745887098E+02    0.190442037155675443E+02    0.631035951345975477E+01    0.270688188528666919E-01    0.255949920080470065E+03
    0.221041735591067481E+04   -0.188897370384387068E+04    0.356509730060026232E+04   -0.348993585930916106E+04    0.166196397421349138E+04   -0.307808312059283708E+03    0.530951046080489819E+00    0.778128781461277441E+02    0.183555087995642587E+02    0.796202849310514882E+01    0.259280420084916328E-01    0.256086508971322360E+03
    0.214971480943283859E+04   -0.153441099684338769E+04    0.275581884616770367E+04   -0.258904179674981697E+04    0.117347423004042321E+04   -0.204556042427610009E+03    0.786601014805464960E+00    0.775889099056420122E+02    0.188611592775875287E+02    0.395921398927703994E+01    0.303189558031756040E-01    0.256706650392866720E+03
    0.232550364632069432E+04   -0.250964510153020456E+04    0.488928039876693219E+04   -0.488615613846948418E+04    0.238922323728818810E+04   -0.457484982834201219E+03    0.492132914668680310E+00    0.777659535482809190E+02    0.187575872739542469E+02    0.794918119976826620E+01    0.249231738877695660E-01    0.256734520335935258E+03
    0.215451090914360793E+04   -0.157569547668174164E+04    0.287698135587708930E+04   -0.275153488235852637E+04    0.127585048655490209E+04   -0.229142707623093884E+03    0.768630375195426208E+00    0.781427298860884036E+02    0.189172525264276885E+02    0.360739662522701643E+01    0.297555863446912726E-01    0.257020359514048494E+03
    0.225038085007668451E+04   -0.211006262124275327E+04    0.404864450382210998E+04   -0.401317235415856521E+04    0.194241768141255125E+04   -0.367397291832721749E+03    0.590379717514429858E+00    0.778889231054880469E+02    0.188414947670034181E+02    0.478451927217450823E+01    0.257232354507784915E-01    0.257105661186008660E+03
    0.234638733002717163E+04   -0.261654380424140891E+04    0.510258448516136923E+04   -0.509334050258193929E+04    0.248712900740989426E+04   -0.475478283917329463E+03    0.501749904804976055E+00    0.775835696164162272E+02    0.190954563346753474E+02    0.752955351576306864E+01    0.299016658107253835E-01    0.257132009121627561E+03
    0.237396108588426614E+04   -0.277075736488539042E+04    0.544285034841908237E+04   -0.546309821780262428E+04    0.268478315993112483E+04   -0.517040124318462404E+03    0.474427549536508564E+00    0.778219581443871817E+02    0.187592036368435018E+02    0.738850425878161055E+01    0.294082461871334674E-01    0.257427800057668946E+03
    0.208945988615130591E+04   -0.121366661380959340E+04    0.208628225905667750E+04   -0.190667954909563741E+04    0.835347802085456351E+03   -0.139561809280419766E+03    0.988376484659077237E+00    0.782156544517028891E+02    0.198865167591561658E+02    0.355476044396754087E+01    0.242889670645033071E-01    0.257579290556648857E+03
