Nested Sampling Global Log-Evidence           :    0.146970117271230425E+02  +/-    0.418785963090252622E+00
Nested Importance Sampling Global Log-Evidence:    0.133077099543532480E+02  +/-    0.233638325232000538E-01

Dim No.       Mean        Sigma
   1    0.756827001279137068E+01    0.448217417230534161E-04
   2   -0.256671090108253530E+01    0.131919938811303608E-03
   3   -0.426626054548709666E-01    0.679943570416993931E-03
   4    0.329308005631479619E-01    0.180299171636428657E-02
   5    0.126616218290490884E+00    0.431648660541508657E-02
   6    0.529400782423447680E+00    0.833911763503290965E-01
   7    0.771194896111114048E+02    0.476086354800198952E+00
   8    0.824565004883307395E+01    0.606748860115266186E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.756832736736203060E+01
   2   -0.256651282334181019E+01
   3   -0.431414465003818748E-01
   4    0.303317224349690662E-01
   5    0.123973658247688689E+00
   6    0.636327667752939030E+00
   7    0.771686594600253812E+02
   8    0.903160208828793820E+01

MAP Parameters
Dim No.        Parameter
   1    0.756832736736203060E+01
   2   -0.256651282334181019E+01
   3   -0.431414465003818748E-01
   4    0.303317224349690662E-01
   5    0.123973658247688689E+00
   6    0.636327667752939030E+00
   7    0.771686594600253812E+02
   8    0.903160208828793820E+01
