Nested Sampling Global Log-Evidence           :   -0.427082168384094700E+03  +/-    0.273331911326493218E-01
Nested Importance Sampling Global Log-Evidence:   -0.427122475576199008E+03  +/-    0.232705278617950026E-01

Dim No.       Mean        Sigma
   1   -0.378188427335548472E+01    0.489591352017028214E+01
   2    0.275001128687659802E+00    0.680716015633762161E+01
   3   -0.611730081849829813E-01    0.710288667708265908E+01
   4    0.384281988513366812E+00    0.701338694553882736E+01
   5    0.787314569467616708E-02    0.662815498488472787E+01
   6    0.487620529737688713E+00    0.287074704929457802E+00
   7    0.501419241346926938E+02    0.290724862154374968E+02
   8    0.103654672874056555E+02    0.561643301446642873E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.974068164825439453E+01
   2   -0.178332710266113281E+01
   3   -0.431296777725219727E+01
   4   -0.860118627548217773E+01
   5    0.663953447341918945E+01
   6    0.513126611709594727E+00
   7    0.796885371208190918E+02
   8    0.652693152427673340E+01

MAP Parameters
Dim No.        Parameter
   1    0.354559993743896484E+01
   2    0.672441959381103516E+00
   3    0.836621761322021484E+01
   4    0.669073104858398438E+00
   5    0.504508495330810547E+00
   6    0.697854220867156982E+00
   7    0.116345286369323730E+02
   8    0.154150414466857910E+02
